Gender,Age,Game,other,Hours
male,21-25,WoW,,14
female,21-25,WoW,,14
male,21-25,WoW,,14
male,21-25,WoW,,14
male,21-25,WoW,,14
male,26-30,WoW,,14
male,26-30,WoW,"Lineage 2, Sphere, MU",14
male,26-30,WoW,,14
male,26-30,WoW,,14
male,26-30,WoW,,14
female,26-30,WoW,,14
male,26-30,WoW,,14
male,26-30,WoW,,14
male,26-30,WoW,,14
male,31-35,WoW,,14
male,31-35,WoW,,14
male,31-35,WoW,,14
male,31-35,WoW,,14
male,31-35,WoW,,14
male,31-35,WoW,,14
male,31-35,WoW,,14
male,31-35,WoW,,14
male,36-40,WoW,,14
male,36-40,WoW,,14
female,36-40,WoW,,14
male,41-45,WoW,,14
male,46-50,WoW,,14
male,<=15,WoW,,15
male,<=15,WoW,,15
male,16,WoW,,15
male,16,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
female,16-20,WoW,,15
female,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,16-20,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
female,21-25,WoW,,15
female,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
male,21-25,WoW,,15
female,26-30,WoW,,15
female,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
female,26-30,WoW,,15
female,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,26-30,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
female,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,31-35,WoW,,15
male,36-40,WoW,,15
male,36-40,WoW,,15
male,36-40,WoW,,15
female,36-40,WoW,,15
male,36-40,WoW,,15
male,36-40,WoW,,15
male,36-40,WoW,,15
male,36-40,WoW,,15
male,36-40,WoW,,15
male,36-40,WoW,,15
female,40,WoW,,15
male,40,WoW,,15
male,40,WoW,,15
male,41-45,WoW,,15
male,41-45,WoW,,15
male,41-45,WoW,,15
male,41-45,WoW,,15
male,41-45,WoW,,15
female,46-50,WoW,,15
male,46-50,WoW,,15
male,50,WoW,,15
male,60+,WoW,,15
male,16-20,WoW,,16
male,16-20,WoW,,16
male,21-25,WoW,,16
male,21-25,WoW,,16
male,21-25,WoW,,16
male,21-25,WoW,,16
male,21-25,WoW,,16
female,26-30,WoW,,16
male,26-30,WoW,,16
male,26-30,WoW,,16
male,26-30,WoW,,16
male,26-30,WoW,,16
male,26-30,WoW,,16
male,26-30,WoW,,16
male,26-30,WoW,,16
male,26-30,WoW,,16
male,31-35,WoW,,16
male,31-35,WoW,,16
male,31-35,WoW,,16
male,31-35,WoW,,16
male,31-35,WoW,,16
male,31-35,WoW,,16
male,36-40,WoW,,16
male,36-40,WoW,,16
male,46-50,WoW,,16
male,56-60,WoW,,16
male,<=15,WoW,,17
male,31-35,WoW,,17
female,16-20,WoW,,18
male,16-20,WoW,,18
male,16-20,WoW,,18
male,16-20,WoW,,18
male,16-20,WoW,,18
male,16-20,WoW,,18
female,16-20,WoW,,18
male,21-25,WoW,,18
male,21-25,WoW,,18
male,21-25,WoW,,18
male,21-25,WoW,,18
male,21-25,WoW,,18
male,21-25,WoW,,18
male,21-25,WoW,,18
male,21-25,WoW,,18
male,21-25,WoW,,18
male,21-25,WoW,,18
female,26-30,WoW,,18
male,26-30,WoW,,18
female,26-30,WoW,,18
male,26-30,WoW,,18
male,26-30,WoW,,18
female,26-30,WoW,,18
male,31-35,WoW,,18
male,36-40,WoW,,18
male,46-50,WoW,,18
male,<=15,WoW,,20
male,16,WoW,,20
male,16,WoW,,20
male,16,WoW,,20
male,16,WoW,,20
male,16,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
female,16-20,WoW,,20
female,16-20,WoW,,20
female,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
female,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,16-20,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
female,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
male,21-25,WoW,,20
