Gender,Age,Game,Hours
male,36-37,WoW,2
male,36-37,EQ2,2
male,36-37,WoW,2
male,38-39,WoW,2
male,38-39,DAOC,2
male,38-39,SWG,2
male,38-39,WoW,2
male,38-39,WoW,2
male,38-39,WoW,2
male,38-39,SWG,2
female,38-39,AC1,2
female,38-39,EQ2,2
male,38-39,WoW,2
male,38-39,EQ,2
male,38-39,EQ2,2
male,38-39,WoW,2
male,38-39,EQ,2
male,40-41,AO,2
male,40-41,WoW,2
male,40-41,CoH,2
male,40-41,WoW,2
male,40-41,EQ2,2
male,42-43,WoW,2
male,42-43,WoW,2
male,42-43,EQ,2
male,42-43,UO,2
male,42-43,DAOC,2
female,44-45,WoW,2
male,44-45,UO,2
male,44-45,EQ2,2
male,44-45,DAOC,2
male,44-45,EQ,2
male,44-45,WoW,2
male,46-47,EQ2,2
male,48-49,UO,2
female,50-51,EQ,2
male,50-51,UO,2
male,50-51,WoW,2
male,50-51,EQ2,2
male,50-51,WoW,2
male,52-53,WoW,2
female,52-53,WoW,2
male,52-53,CoH,2
male,52-53,EQ2,2
female,56-57,EQ2,2
male,60-,FFXI,2
male,18-19,WoW,2
male,24-25,WoW,2
male,14-15,WoW,2
male,16-17,Other,2
male,16-17,WoW,2
male,16-17,WoW,2
male,16-17,Other,2
male,18-19,UO,2
male,18-19,SWG,2
male,18-19,AO,2
male,18-19,WoW,2
male,18-19,EQ2,2
male,18-19,EQ2,2
male,18-19,WoW,2
male,18-19,EQ2,2
female,20-21,FFXI,2
male,20-21,WoW,2
male,20-21,FFXI,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,WoW,2
male,20-21,UO,2
male,20-21,WoW,2
male,22-23,WoW,2
male,22-23,EQ2,2
male,22-23,WoW,2
male,22-23,WoW,2
male,22-23,WoW,2
male,22-23,FFXI,2
male,24-25,WoW,2
male,24-25,SWG,2
male,24-25,WoW,2
male,24-25,WoW,2
male,24-25,WoW,2
male,24-25,WoW,2
male,24-25,WoW,2
male,24-25,EQ,2
male,24-25,SWG,2
male,24-25,WoW,2
male,24-25,EQ2,2
male,24-25,WoW,2
male,24-25,WoW,2
male,24-25,EQ2,2
male,24-25,EQ2,2
male,24-25,WoW,2
male,24-25,WoW,2
female,26-27,EQ2,2
female,26-27,EQ,2
male,26-27,WoW,2
male,26-27,Other,2
male,26-27,EQ2,2
male,26-27,Other,2
male,26-27,Other,2
female,28-29,EQ2,2
male,28-29,EQ2,2
male,28-29,WoW,2
male,28-29,WoW,2
male,28-29,SWG,2
female,28-29,FFXI,2
male,28-29,CoH,2
male,28-29,WoW,2
male,28-29,EQ,2
male,28-29,WoW,2
female,30-31,DAOC,2
female,30-31,Other,2
male,30-31,SWG,2
male,30-31,EQ2,2
male,30-31,WoW,2
male,30-31,WoW,2
male,30-31,WoW,2
male,30-31,WoW,2
male,30-31,WoW,2
female,32-33,EQ2,2
female,32-33,WoW,2
male,32-33,SWG,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,EQ,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,WoW,2
male,32-33,EQ2,2
male,32-33,EQ,2
male,32-33,EQ2,2
female,34-35,DAOC,2
male,34-35,Other,2
male,34-35,WoW,2
male,34-35,WoW,2
female,34-35,CoH,2
male,34-35,CoH,2
male,34-35,EQ,2
male,34-35,CoH,2
male,34-35,WoW,2
male,36-37,EQ,2
male,36-37,WoW,2
male,36-37,WoW,2
male,36-37,CoH,2
male,36-37,WoW,2
male,36-37,WoW,2
male,36-37,EQ,2
male,36-37,DAOC,2
male,38-39,WoW,2
male,38-39,WoW,2
male,38-39,EQ,2
male,42-43,EQ2,2
male,42-43,DAOC,2
male,42-43,CoH,2
female,44-45,WoW,2
male,44-45,Other,2
male,46-47,WoW,2
male,46-47,EQ,2
male,48-49,WoW,2
male,48-49,Other,2
male,52-53,EQ,2
male,54-55,WoW,2
female,58-59,EQ,2
male,60-,WoW,2
female,60-,WoW,2
male,16-17,Other,3
male,34-35,SWG,3
male,36-37,Other,3
female,44-45,CoH,3
male,16-17,Other,3
male,16-17,WoW,3
male,16-17,FFXI,3
male,16-17,WoW,3
male,18-19,Other,3
male,18-19,Other,3
male,18-19,WoW,3
male,18-19,CoH,3
male,18-19,WoW,3
male,18-19,DAOC,3
male,18-19,WoW,3
male,18-19,AO,3
male,18-19,WoW,3
male,18-19,WoW,3
male,20-21,WoW,3
male,20-21,EQ2,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
female,22-23,EQ,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,EQ2,3
male,22-23,WoW,3
female,24-25,WoW,3
male,24-25,WoW,3
male,24-25,WoW,3
male,24-25,WoW,3
male,24-25,EQ2,3
male,24-25,SWG,3
female,24-25,DAOC,3
male,24-25,WoW,3
male,24-25,DAOC,3
male,24-25,Other,3
male,26-27,WoW,3
male,26-27,WoW,3
male,28-29,WoW,3
male,28-29,WoW,3
female,28-29,WoW,3
male,28-29,WoW,3
male,28-29,Other,3
male,28-29,WoW,3
male,28-29,WoW,3
male,28-29,SWG,3
male,30-31,AO,3
male,30-31,WoW,3
male,30-31,WoW,3
male,30-31,WoW,3
male,32-33,Other,3
male,32-33,WoW,3
male,32-33,EQ,3
male,32-33,WoW,3
male,32-33,Other,3
male,32-33,WoW,3
male,32-33,Other,3
male,32-33,WoW,3
male,34-35,EQ2,3
male,34-35,WoW,3
male,34-35,WoW,3
male,36-37,WoW,3
male,36-37,EQ2,3
male,36-37,EQ2,3
female,38-39,WoW,3
male,42-43,WoW,3
male,48-49,WoW,3
male,14-15,WoW,3
male,14-15,WoW,3
male,16-17,WoW,3
male,16-17,WoW,3
male,16-17,AO,3
male,16-17,Other,3
male,16-17,AO,3
male,16-17,EQ2,3
female,18-19,EQ,3
male,18-19,AO,3
male,18-19,WoW,3
male,18-19,EQ2,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,Other,3
female,18-19,EQ2,3
female,18-19,WoW,3
female,18-19,WoW,3
female,18-19,Other,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,WoW,3
male,18-19,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,FFXI,3
male,20-21,CoH,3
male,20-21,Other,3
male,20-21,CoH,3
male,20-21,WoW,3
female,20-21,UO,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,SWG,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
male,20-21,WoW,3
female,22-23,WoW,3
female,22-23,WoW,3
female,22-23,Other,3
male,22-23,FFXI,3
male,22-23,Other,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,UO,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,WoW,3
male,22-23,Other,3
female,24-25,EQ2,3
female,24-25,Other,3
male,24-25,WoW,3
male,24-25,EQ2,3
male,24-25,WoW,3
male,24-25,WoW,3
male,24-25,Other,3
male,24-25,WoW,3
male,24-25,WoW,3
male,24-25,WoW,3
male,24-25,AO,3
male,24-25,WoW,3
male,24-25,EQ2,3
male,24-25,SWG,3
